id,name,dt,color,operator,altRelGEO,lon
23628,USA 113,1439,blue,US,-3.914351152940071,103.69825006274083
23712,USA 115 (MILSTAR-1 2),0,blue,US,38.97250909668219,256.5372982128358
23712,USA 115 (MILSTAR-1 2),180,blue,US,43.932126684638206,255.40125872515455
23712,USA 115 (MILSTAR-1 2),360,blue,US,47.395868741339655,255.47734009383288
23712,USA 115 (MILSTAR-1 2),540,blue,US,47.35859844482911,256.48594668444485
23712,USA 115 (MILSTAR-1 2),720,blue,US,43.838413888486684,256.23467647132156
23712,USA 115 (MILSTAR-1 2),900,blue,US,38.87423262212542,255.09993961505808
23712,USA 115 (MILSTAR-1 2),1080,blue,US,35.384944378871296,255.20309778829179
23712,USA 115 (MILSTAR-1 2),1260,blue,US,35.44728595986089,256.2376764163252
23712,USA 115 (MILSTAR-1 2),1439,blue,US,38.993977878810256,256.00146713193925
23839,INMARSAT 3-F1,0,gray,Other,94.85103602341405,306.25439960353384
23839,INMARSAT 3-F1,180,gray,Other,108.7766145613059,305.8645872168732
23839,INMARSAT 3-F1,360,gray,Other,105.1670258257218,305.768510434927
23839,INMARSAT 3-F1,540,gray,Other,86.14350413642387,305.81788101176465
23839,INMARSAT 3-F1,720,gray,Other,62.830934914338286,305.60816245785213
23839,INMARSAT 3-F1,900,gray,Other,48.890334386975155,305.3208027525285
23839,INMARSAT 3-F1,1080,gray,Other,52.5163484271543,305.35141214221727
23839,INMARSAT 3-F1,1260,gray,Other,71.59109113705199,305.47623699641565
23839,INMARSAT 3-F1,1439,gray,Other,94.81254445034574,305.248024331848
23842,ASTRA 1F,0,gray,Other,19.4083934364171,44.313351821545915
23842,ASTRA 1F,180,gray,Other,7.211774496194266,44.28442211836344
